SAMPLE	MHC	EC	SC	CP	AZ	IPS
TCGA-04-1348	2.8280321394697	0.468641630994076	-0.523633186711794	-0.0254972301565773	2.74754335359541	9
TCGA-04-1357	3.00763738933075	0.511874189945671	-0.727049141438791	-0.32642176511292	2.46604067272471	8
TCGA-04-1362	1.88391209533339	0.120668591711054	-0.334678958545806	0.275726676849895	1.94562840534853	6
TCGA-04-1364	1.42801481728166	-0.0648272761207214	0.310674232555457	0.635297931739842	2.30915970545624	8
TCGA-04-1365	2.58628288195635	0.438128669049766	-0.506701338937987	-0.000348278923053824	2.51736193314508	8
TCGA-04-1514	1.29190297457086	-0.105798728841735	0.208167653668532	0.470866215121029	1.86513811451869	6
TCGA-04-1519	1.50691288735146	0.0465498843877009	0.121778918823193	0.601491690033132	2.27673338059549	8
TCGA-09-0364	0.966104686313621	-0.149337905603666	0.327843110515726	0.668295330388951	1.81290522161463	6
TCGA-09-0366	2.55395836278369	0.254878509976796	-0.745048827942989	-0.0315871450083338	2.03220089980916	7
TCGA-09-0367	2.47792335995933	0.211655540740923	-0.3814097685731	0.218703016684545	2.5268721488117	8
TCGA-09-0369	1.40906979358708	0.0339062345602532	-0.0849743845007719	0.458753180499553	1.81675482414611	6
TCGA-09-1662	2.3671726336772	0.357675695679138	-0.515107281438167	0.295083048921741	2.50482409683991	8
